SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-88,1
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
COSMOTE-295660,70:f8:2b:73:bf:16,802.11b,10,2457,-93,-4
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,0,89
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-91,-2
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,0,89
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,0,89
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-58,31
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-87,2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-57,32
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-49,40
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-89,0
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-49,40
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,0,89
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,0,89
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-49,40
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-89,0
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-58,31
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-49,40
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-87,2
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-79,10
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-48,41
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-87,2
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-58,31
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-88,1
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-80,9
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
COSMOTE-295660,70:f8:2b:73:bf:16,802.11b,10,2457,-92,-3
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-50,39
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-89,0
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-80,9
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-47,42
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-79,10
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-86,3
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-88,1
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-66,23
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-48,41
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-80,9
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-93,-4
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-87,2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-89,0
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-63,26
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-90,-1
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-78,11
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-90,-1
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
Clandestino,14:09:b4:d1:be:17,802.11b,10,2457,-60,29
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-91,-2
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-53,36
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-93,-4
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,0,89
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-89,0
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-89,0
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-93,-4
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-91,-2
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-89,0
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-91,-2
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-90,-1
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-92,-3
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-89,0
VODAFONE_H268Q-0165,c8:98:28:15:1b:a3,802.11b,10,2457,-77,12
HPC7A65A,02:26:56:71:9c:6c,802.11b,10,2457,-90,-1
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,-88,1
my-home:),f8:aa:3f:6d:02:b6,802.11b,10,2457,-51,38
Miss Beauty,c0:94:ad:6f:66:30,802.11b,10,2457,0,89
WindWiFi_A54C,c4:71:54:e6:a5:4c,802.11b,10,2457,-80,9
